province,Latitude,Longitude,Name_Type
Hunan,27.28711,110.936234,Buddhism
Hunan,27.33639,110.974941,Buddhism
Hunan,27.083688,110.975643,Buddhism
Hunan,27.49986,111.007169,Buddhism
Hunan,27.069104,111.018219,Buddhism
Hunan,27.113978,111.032438,Buddhism
Hunan,27.113978,111.032438,Buddhism
Hunan,27.544525,110.897774,Buddhism
Hunan,27.083688,110.975643,Buddhism
Hunan,27.308417,110.911872,Buddhism
Hunan,27.231885,110.577311,Buddhism
Hunan,27.142373,110.752324,Buddhism
Hunan,27.060321,110.575846,Buddhism
Hunan,26.913476,110.234156,Buddhism
Hunan,26.706879,110.143081,Buddhism
Hunan,26.942112,110.205572,Buddhism
Hunan,27.110874,110.365612,Buddhism
Hunan,26.638152,110.206092,Buddhism
Hunan,26.578173,110.163316,Buddhism
Hunan,26.545377,110.15012,Buddhism
Hunan,26.581955,110.155655,Buddhism
Hunan,26.761507,110.334102,Buddhism
Hunan,26.637781,110.162019,Buddhism
Hunan,26.850379,110.461218,Buddhism
Hunan,26.857968,110.467239,Buddhism
Hunan,26.744479,110.45312,Buddhism
Hunan,26.581955,110.155655,Buddhism
Hunan,26.862694,110.326268,Buddhism
Hunan,26.433418,110.856623,Buddhism
Hunan,26.503196,110.771239,Buddhism
Hunan,26.548932,110.766108,Buddhism
Hunan,26.433418,110.856623,Buddhism
Hunan,26.558433,110.778369,Buddhism
Hunan,26.348345,110.600553,Buddhism
Hunan,26.456508,110.643416,Buddhism
Hunan,26.679593,110.926972,Buddhism
Hunan,26.534829,111.18472,Buddhism
Hunan,26.429294,110.851361,Buddhism
Hunan,26.840061,111.050046,Buddhism
Hunan,26.46541,110.88908,Buddhism
Hunan,26.433418,110.856623,Buddhism
Hunan,26.664182,111.199423,Buddhism
Hunan,26.453922,110.765048,Buddhism
Hunan,26.631478,110.935738,Buddhism
Hunan,26.442342,110.859584,Buddhism
Hunan,26.433418,110.856623,Buddhism
Hunan,26.423292,110.556704,Buddhism
Hunan,26.419213,110.579564,Buddhism
Hunan,26.537447,110.743817,Buddhism
Hunan,26.527912,110.792881,Buddhism
Hunan,26.509979,110.811526,Buddhism
Hunan,26.562678,110.951307,Buddhism
Hunan,26.73623,111.002396,Buddhism
Hunan,26.433418,110.856623,Buddhism
Hunan,26.429294,110.851361,Buddhism
Hunan,26.495244,110.841081,Buddhism
Hunan,26.573495,110.989558,Buddhism
Hunan,26.548932,110.766108,Buddhism
Hunan,26.522742,111.22239,Buddhism
Hunan,26.502628,110.922671,Buddhism
Hunan,26.859115,111.025718,Buddhism
Hunan,26.443872,110.782812,Buddhism
Hunan,26.466355,110.425743,Buddhism
Hunan,26.593912,110.604131,Buddhism
Hunan,26.48716,110.444561,Buddhism
Hunan,26.241254,110.36201,Buddhism
Hunan,26.614711,110.577348,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.377025,110.454031,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.374023,110.328803,Buddhism
Hunan,26.47045,110.352446,Buddhism
Hunan,26.562507,110.455158,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.326379,110.370858,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.47045,110.352446,Buddhism
Hunan,26.355278,110.3119,Buddhism
Hunan,26.194986,110.364142,Buddhism
Hunan,26.473431,110.516653,Buddhism
Hunan,26.674715,110.455384,Buddhism
Hunan,26.608589,110.490372,Buddhism
Hunan,26.65797,110.795878,Buddhism
Hunan,26.726599,110.631884,Buddhism
Hunan,29.440375,113.170811,Buddhism
Hunan,29.22962,113.52973,Buddhism
Hunan,29.533273,112.629828,Buddhism
Hunan,29.515668,112.567731,Buddhism
Hunan,29.398925,112.592408,Buddhism
Hunan,28.576647,112.870047,Buddhism
Hunan,29.028766,111.697912,Buddhism
Hunan,28.650488,111.552968,Buddhism
Hunan,28.899317,111.956241,Buddhism
Hunan,28.706562,111.878713,Buddhism
Hunan,29.674401,111.682255,Buddhism
Hunan,29.773912,111.572487,Buddhism
Hunan,29.556854,111.485413,Buddhism
Hunan,29.605201,111.868561,Buddhism
Hunan,29.60548,111.877499,Buddhism
Hunan,29.321164,111.80322,Buddhism
Hunan,29.125138,110.484509,Buddhism
Hunan,29.31067,110.04559,Buddhism
Hunan,28.611755,112.345392,Buddhism
Hunan,28.606757,112.18797,Buddhism
Hunan,28.494298,112.335521,Buddhism
Hunan,28.582464,112.337426,Buddhism
Hunan,28.43764,112.507147,Buddhism
Hunan,28.579343,112.374024,Buddhism
Hunan,29.298981,112.419226,Buddhism
Hunan,29.285346,112.563427,Buddhism
Hunan,29.373664,112.404516,Buddhism
Hunan,29.368078,112.415594,Buddhism
Hunan,28.518085,112.155822,Buddhism
Hunan,28.621804,111.812751,Buddhism
Hunan,28.258326,112.010384,Buddhism
Hunan,28.630424,111.732772,Buddhism
Hunan,28.275537,112.004093,Buddhism
Hunan,28.518085,112.155822,Buddhism
Hunan,25.56063,112.72111,Buddhism
Hunan,25.740766,113.035532,Buddhism
Hunan,25.81823,113.037424,Buddhism
Hunan,25.75061,113.090245,Buddhism
Hunan,25.537369,112.691267,Buddhism
Hunan,25.701005,112.622635,Buddhism
Hunan,25.504706,112.673678,Buddhism
Hunan,26.115857,112.71854,Buddhism
Hunan,25.691014,112.66318,Buddhism
Hunan,25.672295,112.733684,Buddhism
Hunan,25.504589,112.708241,Buddhism
Hunan,25.738171,112.746131,Buddhism
Hunan,25.754116,112.734141,Buddhism
Hunan,25.731191,112.570781,Buddhism
Hunan,25.504589,112.708241,Buddhism
Hunan,26.102002,112.509432,Buddhism
Hunan,25.665895,112.646747,Buddhism
Hunan,25.655955,112.663578,Buddhism
Hunan,25.537369,112.691267,Buddhism
Hunan,25.48644,112.705761,Buddhism
Hunan,26.468031,113.24305,Buddhism
Hunan,26.073362,112.905513,Buddhism
Hunan,26.138606,112.920511,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.099315,113.084957,Buddhism
Hunan,26.045223,113.03479,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.124338,113.10944,Buddhism
Hunan,26.148114,113.022143,Buddhism
Hunan,26.266732,113.132398,Buddhism
Hunan,26.045223,113.03479,Buddhism
Hunan,26.286903,113.517199,Buddhism
Hunan,26.068239,113.14775,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.315651,113.497716,Buddhism
Hunan,26.073362,112.905513,Buddhism
Hunan,26.36818,113.278911,Buddhism
Hunan,26.039386,112.929814,Buddhism
Hunan,26.192576,113.189603,Buddhism
Hunan,26.287895,113.14272,Buddhism
Hunan,26.222946,113.113167,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.262883,113.116555,Buddhism
Hunan,26.140354,112.929323,Buddhism
Hunan,26.17446,113.423084,Buddhism
Hunan,26.172656,112.802312,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.076517,113.061404,Buddhism
Hunan,26.103109,112.891534,Buddhism
Hunan,26.145747,113.200416,Buddhism
Hunan,26.324757,113.490896,Buddhism
Hunan,26.210993,113.172792,Buddhism
Hunan,26.14573,113.104577,Buddhism
Hunan,26.131087,113.119237,Buddhism
Hunan,26.099315,113.084957,Buddhism
Hunan,26.282872,113.183808,Buddhism
Hunan,26.075689,113.094057,Buddhism
Hunan,26.062201,112.991509,Buddhism
Hunan,26.204084,113.151819,Buddhism
Hunan,26.151616,113.154383,Buddhism
Hunan,26.202062,113.166137,Buddhism
Hunan,26.141193,112.881779,Buddhism
Hunan,26.422962,113.250334,Buddhism
Hunan,26.127151,113.116527,Buddhism
Hunan,26.319803,113.146862,Buddhism
Hunan,26.208952,113.188331,Buddhism
Hunan,26.070079,112.85964,Buddhism
Hunan,26.276083,113.473664,Buddhism
Hunan,26.035975,112.883177,Buddhism
Hunan,26.346858,113.280399,Buddhism
Hunan,26.045223,113.03479,Buddhism
Hunan,25.232713,112.606908,Buddhism
Hunan,25.274554,112.552868,Buddhism
Hunan,25.227096,112.589781,Buddhism
Hunan,25.302799,112.679549,Buddhism
Hunan,25.27556,112.563456,Buddhism
Hunan,26.434843,113.424885,Buddhism
Hunan,26.512664,113.499665,Buddhism
Hunan,26.532782,113.366729,Buddhism
Hunan,26.439263,113.491286,Buddhism
Hunan,26.503885,113.229636,Buddhism
Hunan,26.434843,113.424885,Buddhism
Hunan,26.506128,113.257971,Buddhism
Hunan,26.52566,113.215274,Buddhism
Hunan,26.541448,113.197524,Buddhism
Hunan,26.503885,113.229636,Buddhism
Hunan,26.446857,112.004552,Buddhism
Hunan,26.591109,111.867055,Buddhism
Hunan,26.424403,111.985196,Buddhism
Hunan,26.503245,112.008524,Buddhism
Hunan,26.424403,111.985196,Buddhism
Hunan,26.312913,112.077638,Buddhism
Hunan,26.43635,111.249335,Buddhism
Hunan,26.394404,111.314117,Buddhism
Hunan,26.437296,111.327038,Buddhism
Hunan,26.630488,111.331683,Buddhism
Hunan,26.397883,111.335603,Buddhism
Hunan,27.554058,109.933196,Buddhism
Hunan,27.681006,110.007334,Buddhism
Hunan,27.549428,109.965093,Buddhism
Hunan,27.610243,109.98819,Buddhism
Hunan,28.455968,110.423815,Buddhism
Hunan,28.006336,110.183917,Buddhism
Hunan,28.052786,110.256815,Buddhism
Hunan,27.830589,110.070295,Buddhism
Hunan,28.043219,110.195043,Buddhism
Hunan,27.835936,110.20381,Buddhism
Hunan,27.767289,110.21157,Buddhism
Hunan,27.992893,110.186313,Buddhism
Hunan,27.775177,110.45927,Buddhism
Hunan,28.028707,110.21023,Buddhism
Hunan,28.18607,110.291068,Buddhism
Hunan,27.674503,110.434384,Buddhism
Hunan,27.834452,110.100244,Buddhism
Hunan,28.116199,110.253052,Buddhism
Hunan,27.965352,110.106263,Buddhism
Hunan,28.006343,110.183928,Buddhism
Hunan,27.987912,110.306576,Buddhism
Hunan,27.808319,110.360381,Buddhism
Hunan,28.006343,110.183928,Buddhism
Hunan,28.000673,110.403967,Buddhism
Hunan,27.680608,110.469415,Buddhism
Hunan,28.093353,110.160907,Buddhism
Hunan,27.721059,110.492413,Buddhism
Hunan,27.716792,110.391535,Buddhism
Hunan,28.088742,110.114744,Buddhism
Hunan,28.006343,110.183928,Buddhism
Hunan,27.909885,110.218572,Buddhism
Hunan,27.671223,110.354157,Buddhism
Hunan,28.006343,110.183928,Buddhism
Hunan,27.868468,110.148773,Buddhism
Hunan,27.873048,110.278575,Buddhism
Hunan,28.025076,110.228905,Buddhism
Hunan,27.65538,110.347325,Buddhism
Hunan,28.004788,110.198627,Buddhism
Hunan,27.940922,110.108526,Buddhism
Hunan,27.674503,110.434384,Buddhism
Hunan,28.007439,110.165155,Buddhism
Hunan,27.955878,110.232439,Buddhism
Hunan,28.006343,110.183928,Buddhism
Hunan,28.064905,110.481294,Buddhism
Hunan,27.886448,110.091464,Buddhism
Hunan,27.369909,109.168839,Buddhism
Hunan,26.575081,109.696246,Buddhism
Hunan,27.115798,110.004657,Buddhism
Hunan,27.673272,112.023627,Buddhism
Hunan,27.532228,112.078963,Buddhism
Hunan,27.598839,112.229891,Buddhism
Hunan,27.606133,112.043682,Buddhism
Hunan,27.402966,112.19584,Buddhism
Hunan,27.459144,112.192446,Buddhism
Hunan,27.847055,111.613618,Buddhism
Hunan,27.980423,111.067094,Buddhism
Hunan,27.720585,111.329404,Buddhism
Hunan,27.634649,111.185582,Buddhism
Hunan,27.757143,111.295231,Buddhism
Hunan,27.98266,111.186351,Buddhism
Hunan,27.734613,111.285838,Buddhism
Hunan,27.946639,111.111026,Buddhism
Hunan,27.772995,110.914993,Buddhism
Hunan,27.734613,111.285838,Buddhism
Hunan,27.653494,111.332209,Buddhism
Hunan,27.869272,111.517615,Buddhism
Hunan,28.097975,111.207757,Buddhism
Hunan,27.648896,111.194368,Buddhism
Hunan,28.090072,111.377757,Buddhism
Hunan,27.653494,111.332209,Buddhism
Hunan,27.692542,111.664316,Buddhism
Hunan,27.950601,111.799988,Buddhism
Hunan,27.584126,111.902684,Buddhism
Hunan,27.81789,111.873363,Buddhism
Hunan,27.904336,111.847943,Buddhism
Hunan,27.679159,111.686976,Buddhism
Hunan,27.679159,111.686976,Buddhism
Hunan,27.565808,111.770311,Buddhism
Hunan,27.686014,111.902131,Buddhism
Hunan,27.830513,111.899856,Buddhism
Hunan,27.529184,111.964752,Buddhism
Hunan,27.79733,111.677401,Buddhism
Hunan,27.654601,111.647214,Buddhism
Hunan,27.775014,111.889673,Buddhism
Hunan,27.575814,111.779758,Buddhism
Hunan,27.773008,111.889592,Buddhism
Hunan,27.687842,111.652629,Buddhism
Hunan,27.950601,111.799988,Buddhism
Hunan,27.877061,111.762499,Buddhism
Hunan,27.692542,111.664316,Buddhism
Hunan,27.679159,111.686976,Buddhism
Hunan,27.686014,111.902131,Buddhism
Hunan,27.898035,111.858814,Buddhism
Hunan,27.584126,111.902684,Buddhism
Hunan,27.900476,111.859577,Buddhism
Hunan,27.635823,111.777957,Buddhism
Hunan,27.5741,111.748562,Buddhism
Hunan,27.900476,111.859577,Buddhism
Hunan,27.686014,111.902131,Buddhism
Hunan,27.692542,111.664316,Buddhism
Hunan,27.584126,111.902684,Buddhism
Hunan,27.615863,111.821822,Buddhism
Hunan,27.615863,111.821822,Buddhism
Hunan,27.877061,111.762499,Buddhism
Hunan,27.686014,111.902131,Buddhism
Hunan,27.686014,111.902131,Buddhism
Hunan,27.68001,111.684193,Buddhism
Hunan,27.692542,111.664316,Buddhism
Hunan,27.819615,111.862945,Buddhism
Hunan,28.253414,109.690949,Buddhism
Hunan,28.26236,109.698092,Buddhism
Hunan,28.26236,109.698092,Buddhism
Hunan,28.26236,109.698092,Buddhism
Hunan,28.26236,109.698092,Buddhism
Hunan,28.26236,109.698092,Buddhism
Hunan,28.322746,109.595967,Buddhism
Hunan,28.221079,109.817549,Buddhism
Hunan,28.261368,109.740618,Buddhism
Hunan,28.311805,109.72646,Buddhism
Hunan,28.32071,109.74084,Buddhism
Hunan,28.25629,109.703196,Buddhism
Hunan,28.263997,109.708812,Buddhism
Hunan,28.263997,109.708812,Buddhism
Hunan,27.849422,109.53101,Buddhism
Hunan,28.077999,109.733832,Buddhism
Hunan,27.825779,109.513347,Buddhism
Hunan,27.775389,109.440922,Buddhism
Hunan,28.181383,109.477997,Buddhism
Hunan,28.194024,109.658324,Buddhism
Hunan,28.103128,109.610263,Buddhism
Hunan,27.849422,109.53101,Buddhism
Hunan,27.946173,109.607501,Buddhism
Hunan,27.987322,109.597652,Buddhism
Hunan,28.043222,109.723844,Buddhism
Hunan,28.2176,109.6627,Buddhism
Hunan,28.61949,109.94828,Buddhism
