id,province,name,Latitude,Longitude,Type,Name_Type,Year
17735,Henan,Nanren Mosque,34.889733,114.122811,5,Islam,1962
17736,Henan,Shaogang Village Protestant Church,34.72244,114.088601,1,Protestantism,1980
17737,Henan,Liuqiao Protestant Church,34.686108,113.980448,1,Protestantism,1997
17738,Henan,Lumiao Village Protestant Church,34.774091,113.945222,1,Protestantism,1995
17739,Henan,Xiaozhuang Protestant Church,34.862653,113.865325,1,Protestantism,1995
17740,Henan,Yaojia Protestant Church,34.65312,114.115904,1,Protestantism,1990
17741,Henan,Daranzhuang Protestant Church,34.77281,113.934424,1,Protestantism,1993
17742,Henan,Chengguan Protestant Church,34.721356,114.038362,1,Protestantism,1995
17743,Henan,Wantan Town Wantan Protestant Church,34.863592,113.941799,1,Protestantism,1995
17744,Henan,Sunzhuang Village Protestant Church,34.70622,114.10729,1,Protestantism,1995
17745,Henan,Louwang Protestant Church,34.456405,113.981387,1,Protestantism,1986
17746,Henan,Tao Village Protestant Church,34.67222,113.919488,1,Protestantism,2003
17747,Henan,Changdian Protestant Church,34.595911,113.923905,1,Protestantism,1989
17748,Henan,Xinwang Protestant Church,34.799959,113.966813,1,Protestantism,1995
17749,Henan,Niwugang Protestant Church,34.660129,114.108468,1,Protestantism,1998
17750,Henan,Fengjia Village Protestant Church,34.558339,114.031568,1,Protestantism,1995
17751,Henan,Qianlü Protestant Church,34.590377,113.948095,1,Protestantism,1986
17752,Henan,Luyimiao Village Protestant Church,34.684846,113.848938,1,Protestantism,1999
17753,Henan,Shuikui Church,34.757748,114.071051,1,Protestantism,1995
17754,Henan,Zaolinzhu Protestant Church,34.846646,114.019792,1,Protestantism,1997
17755,Henan,Yanjia Catholic Church,34.77687,113.952446,2,Catholicism,2000
17756,Henan,Zhongmou County Buddhist Association,34.686108,113.980448,30,Buddhism,2004
17757,Henan,Weitan Village Protestant Church,34.876706,114.154401,1,Protestantism,1997
17758,Henan,Diaojia Church,34.545025,114.086344,1,Protestantism,1995
17759,Henan,Yanminghu Catholic Church,34.850511,114.070729,2,Catholicism,1995
17760,Henan,Liuji Village Protestant Church,34.803739,113.928447,1,Protestantism,1996
17761,Henan,Qiancheng Village Protestant Church,34.734098,113.874275,1,Protestantism,1986
17762,Henan,Houlujian Protestant Church,34.698223,113.930081,1,Protestantism,1995
17763,Henan,Menzhuang Church,34.732435,114.090023,1,Protestantism,1995
17764,Henan,Longquan Temple,34.711656,113.11344,3,Buddhism,1995
17765,Henan,Nanhedu Church,34.808945,113.019836,1,Protestantism,1993
17766,Henan,Qianjing Village Protestant Church,34.617894,113.097125,1,Protestantism,2003
17767,Henan,Beishankou Protestant Church,34.709756,113.010814,1,Protestantism,1998
17768,Henan,Shifo Temple,34.625759,113.02991,3,Buddhism,1997
17769,Henan,Guihua Village Protestant Church,34.6219,112.934,1,Protestantism,1982
17770,Henan,Mihe Town Protestant Church,34.722317,113.245208,1,Protestantism,1990
17771,Henan,Shecun Town Protestant Church,34.609678,113.060097,1,Protestantism,2000
17772,Henan,Yangqiao Protestant Church Democratic Management Committee,34.75827,113.17303,1,Protestantism,1996
17773,Henan,Mugou Protestant Church,34.806092,113.163533,1,Protestantism,2004
17774,Henan,Matun Mosque,34.612973,112.841944,5,Islam,1984
