,Latitude,Longitude,Name_Type,province
0,28.197815000000002,112.977871,Protestantism,Hunan
1,28.196838,112.978195,Protestantism,Hunan
2,28.112444,112.98381,Daoism,Hunan
3,28.179151,112.952196,Daoism,Hunan
4,28.210911,112.97873600000001,Catholicism,Hunan
5,28.256044,112.98607700000001,Protestantism,Hunan
6,28.210383,112.978798,Catholicism,Hunan
7,28.180376000000003,113.111519,Daoism,Hunan
8,28.543166999999997,113.30655,Daoism,Hunan
9,28.506428999999997,113.297299,Daoism,Hunan
10,28.426757000000002,112.72151699999999,Protestantism,Hunan
11,28.232484999999997,112.753928,Daoism,Hunan
12,28.290971000000003,112.737999,Daoism,Hunan
13,28.347314,113.886164,Protestantism,Hunan
14,28.351936,113.873411,Daoism,Hunan
15,28.163790000000002,113.64328,Daoism,Hunan
16,28.163790000000002,113.64328,Daoism,Hunan
17,28.163790000000002,113.64328,Daoism,Hunan
18,27.911375,113.689603,Daoism,Hunan
19,28.163790000000002,113.64328,Daoism,Hunan
20,28.163790000000002,113.64328,Daoism,Hunan
21,28.288005,113.78346100000002,Daoism,Hunan
22,28.151590000000002,113.62055600000001,Catholicism,Hunan
23,28.323273999999998,114.106343,Daoism,Hunan
24,28.148231,113.64321799999999,Daoism,Hunan
25,28.163790000000002,113.64328,Daoism,Hunan
26,27.973281,113.721523,Daoism,Hunan
27,27.948759000000003,113.627219,Daoism,Hunan
28,28.163790000000002,113.64328,Daoism,Hunan
29,28.172201,113.536777,Daoism,Hunan
30,27.821244,113.15815,Islam,Hunan
31,27.825166999999997,113.15589299999999,Catholicism,Hunan
32,27.643401,113.03596200000001,Protestantism,Hunan
33,27.250476000000003,113.556301,Daoism,Hunan
34,27.20324,113.788618,Daoism,Hunan
35,27.000196000000003,113.34541999999999,Daoism,Hunan
36,27.080371000000003,113.22475800000001,Daoism,Hunan
37,27.000196000000003,113.34541999999999,Daoism,Hunan
38,27.394171999999998,113.56522199999999,Daoism,Hunan
39,26.997483000000003,113.34635800000001,Protestantism,Hunan
40,27.000196000000003,113.34541999999999,Protestantism,Hunan
41,27.217462,113.66226200000001,Daoism,Hunan
42,27.159271999999998,113.66185300000001,Daoism,Hunan
43,26.551958000000003,113.61215800000001,Daoism,Hunan
44,26.599146,113.57088700000001,Daoism,Hunan
45,26.796590999999996,113.524612,Daoism,Hunan
46,26.777661,113.539224,Protestantism,Hunan
47,26.777661,113.539224,Daoism,Hunan
48,26.79164,113.560645,Protestantism,Hunan
49,27.646144,113.49686799999999,Daoism,Hunan
50,27.646144,113.49686799999999,Daoism,Hunan
51,27.646144,113.49686799999999,Daoism,Hunan
52,27.646144,113.49686799999999,Daoism,Hunan
53,27.860965000000004,112.92289199999999,Protestantism,Hunan
54,27.852403000000002,112.90211399999998,Catholicism,Hunan
55,27.872113,112.96941499999998,Daoism,Hunan
56,27.766741999999997,112.992498,Islam,Hunan
57,27.774634000000002,112.599158,Protestantism,Hunan
58,27.734984999999998,112.528903,Protestantism,Hunan
59,27.909096999999996,112.43608400000001,Protestantism,Hunan
60,26.892063,112.613972,Protestantism,Hunan
61,26.902321999999998,112.61069199999999,Catholicism,Hunan
62,27.2324,112.73868700000001,Daoism,Hunan
63,27.239942,112.735983,Protestantism,Hunan
64,26.962578000000004,112.92108600000002,Protestantism,Hunan
65,27.263697999999998,112.963146,Protestantism,Hunan
66,27.0813,112.95324699999999,Protestantism,Hunan
67,26.9656,113.009813,Protestantism,Hunan
68,26.98515,113.118793,Protestantism,Hunan
69,27.096271999999995,112.97495,Protestantism,Hunan
70,27.112004,112.99389099999999,Protestantism,Hunan
71,27.074683,113.032657,Protestantism,Hunan
72,26.988133,113.163679,Protestantism,Hunan
73,27.195182,113.2269,Protestantism,Hunan
74,26.9656,113.009813,Protestantism,Hunan
75,27.074683,113.032657,Daoism,Hunan
76,26.99312,113.094522,Protestantism,Hunan
77,27.0813,112.95324699999999,Protestantism,Hunan
78,27.0813,112.95324699999999,Protestantism,Hunan
79,27.0813,112.95324699999999,Protestantism,Hunan
80,27.294915999999997,112.992558,Protestantism,Hunan
81,27.233684000000004,113.148982,Protestantism,Hunan
82,27.129448999999997,113.13851799999999,Protestantism,Hunan
83,26.992731,113.171352,Protestantism,Hunan
84,27.218788,113.076104,Protestantism,Hunan
85,27.018455,111.65189299999999,Daoism,Hunan
86,26.770309,112.037448,Daoism,Hunan
87,26.673254999999997,113.0067,Daoism,Hunan
88,26.593609999999998,112.831975,Daoism,Hunan
89,26.593609999999998,112.831975,Protestantism,Hunan
90,26.232666,112.949198,Daoism,Hunan
91,26.460199,113.08283600000001,Daoism,Hunan
92,26.647068,112.82183799999999,Daoism,Hunan
93,26.411965999999996,112.84924099999999,Daoism,Hunan
94,26.305366999999997,112.798553,Daoism,Hunan
95,26.376890000000003,112.840002,Daoism,Hunan
96,26.672434000000003,112.82931200000002,Daoism,Hunan
97,26.231123999999998,112.925133,Daoism,Hunan
98,26.460199,113.08283600000001,Daoism,Hunan
99,26.609517999999998,112.85300900000001,Daoism,Hunan
100,26.623949,112.81347099999999,Daoism,Hunan
101,26.207872000000002,112.82835700000001,Daoism,Hunan
102,26.494124,113.03671899999999,Daoism,Hunan
103,26.593609999999998,112.831975,Daoism,Hunan
104,26.623949,112.81347099999999,Daoism,Hunan
105,27.211402000000003,111.563098,Islam,Hunan
106,27.221452000000003,111.43909099999999,Protestantism,Hunan
107,27.236884000000003,111.44643,Islam,Hunan
108,27.272176,111.350124,Islam,Hunan
109,26.987455999999998,111.14071799999999,Islam,Hunan
