province,Latitude,Longitude
Yunnan,24.92602,102.48143
Yunnan,24.921294,102.48771
Yunnan,24.9145,102.4698
Yunnan,24.825121,102.443067
Yunnan,25.515504,103.882747
Yunnan,25.413241,103.836455
Yunnan,25.385736,103.856312
Yunnan,25.343425,103.840304
Yunnan,25.517601,103.83171
Yunnan,25.535308,103.719095
Yunnan,25.293219,103.838849
Yunnan,25.490074,103.793734
Yunnan,25.467208,103.767481
Yunnan,25.504456,103.804177
Yunnan,25.495154,103.805042
Yunnan,25.520667,103.734662
Yunnan,25.518539,103.735112
Yunnan,25.382789,103.956231
Yunnan,25.374663,103.813097
Yunnan,25.535308,103.719095
Yunnan,25.489889,103.78423
Yunnan,25.425122,103.828866
Yunnan,25.299016,103.839627
Yunnan,25.51843,103.736062
Yunnan,25.493191,103.782299
Yunnan,25.491388,103.807003
Yunnan,25.407161,103.860519
Yunnan,25.299315,103.871599
Yunnan,25.471731,103.827833
Yunnan,25.255076,104.069062
Yunnan,25.54648,103.806109
Yunnan,25.490164,103.78691
Yunnan,25.299016,103.839627
Yunnan,25.332546,103.838788
Yunnan,25.367586,103.394447
Yunnan,24.938402,103.463987
Yunnan,25.021025,103.667767
Yunnan,25.02656,103.663695
Yunnan,24.959796,103.743775
Yunnan,24.950182,103.760473
Yunnan,25.095425,103.668751
Yunnan,25.130895,103.736006
Yunnan,24.935156,103.731722
Yunnan,25.112797,103.767644
Yunnan,24.948903,103.676648
Yunnan,24.910808,103.699952
Yunnan,25.161773,103.680968
Yunnan,24.952479,103.734102
Yunnan,25.142652,103.658694
Yunnan,25.029085,103.671392
Yunnan,24.956347,103.760945
Yunnan,24.951528,103.766339
Yunnan,24.874178,104.305676
Yunnan,24.825754,104.278122
Yunnan,24.868362,104.315283
Yunnan,24.834,104.3691
Yunnan,26.416305,103.307915
Yunnan,25.579057,103.780697
Yunnan,25.6025,103.820791
Yunnan,25.60048,103.822114
Yunnan,25.602993,103.754919
Yunnan,25.59521,103.81667
Yunnan,25.625134,103.883339
Yunnan,25.562246,103.850272
Yunnan,25.879968,103.672049
Yunnan,25.61343,103.82443
Yunnan,25.759633,103.864271
Yunnan,25.60048,103.822114
Yunnan,25.749273,103.900388
Yunnan,26.229941,104.109157
Yunnan,26.222231,104.127573
Yunnan,24.451951,102.594577
Yunnan,24.428648,102.573015
Yunnan,24.324234,102.580721
Yunnan,24.382109,102.413048
Yunnan,24.406327,102.537536
Yunnan,24.474713,102.656959
Yunnan,24.474713,102.656959
Yunnan,24.439761,102.564937
Yunnan,24.43846,102.563932
Yunnan,24.512198,102.557335
Yunnan,24.344925,102.547908
Yunnan,24.435979,102.587186
Yunnan,24.382109,102.413048
Yunnan,24.382109,102.413048
Yunnan,24.673708,102.908467
Yunnan,24.7417,102.8516
Yunnan,24.672291,102.912317
Yunnan,24.696963,102.900522
Yunnan,24.646858,102.903077
Yunnan,24.7417,102.8516
Yunnan,24.643451,102.931724
Yunnan,24.672291,102.912317
Yunnan,24.672851,102.884426
Yunnan,24.5669,102.8457
Yunnan,24.7417,102.8516
Yunnan,24.839317,102.993171
Yunnan,24.225677,103.100618
Yunnan,24.225677,103.100618
Yunnan,24.225677,103.100618
Yunnan,24.192772,102.928873
Yunnan,24.225677,103.100618
Yunnan,24.186239,102.931278
Yunnan,24.225677,103.100618
Yunnan,24.198868,103.091766
Yunnan,24.243724,103.1223
Yunnan,24.225677,103.100618
Yunnan,24.221559,102.99696
